Verbatim;Categorie;Libelle;Compar
Manque de visibillite au niveau de la peser;Travail;Ce que j'apprécie;1
manque de vision produit;Vision;Ce qui me met en difficulté;1
-manque d'écoute -de dialogue -l'hygiène au niveau sanitaire;Collectif;Ce qui me met en difficulté;1
manque d'effectif;Moyens;Ce qui me met en difficulté;1
Manque d'efficacité, Pas de dialogue;Organisation;Ce qui me met en difficulté;1
manque d'engagement des équipes;Collectif;Ce qui me met en difficulté;1
manque d'expressions des besoins;Ouverture;Ce qui me met en difficulté;1
Manque d'intérêt pour les tâches (rébarbatif / ne permet pas de monter en compétence);Evolution;Ce qui me met en difficulté;1
manque d'objectif clair long terme (6 mois min) au niveau personnel;Priorités;Ce qui me met en difficulté;1
Many requests that do not come from the hierarchy (it's a good thing that we're not to hierarchical - but difficult to cope with);Priorités;Ce qui me met en difficulté;1
Matériel pas assez améliorer et pas une bonne prise de soin de celui-ci ;Organisation;Ce qui me met en difficulté;1
mauvais management;Accompagnement;Ce qui me met en difficulté;1
Mauvaise communication : Pour JC c'est soit tu me suis soit tu existe plus;Communication;Ce qui me met en difficulté;1
Mauvaise coordination entre ce que je fais et ce que mon collegue fais. On vient me voir pour des choses dont je ne me sens pas responsable;Organisation;Ce qui me met en difficulté;1
mauvaise odeur;Environnement;Ce qui me met en difficulté;1
Max 8 client;Relation client;Ce que j'apprécie;1
Me challenger;Evolution;Ce que j'apprécie;1
Me développer personnellement ;Evolution;Ce que j'apprécie;1
Me sentir utile, rester motivée, me sentir progresser lorsque j'ai peu de projets clients;Travail;Ce qui me met en difficulté;1
Me voir progresser sur les différents sujets ( pro et perso );Evolution;Ce que j'apprécie;1
Mêler la théorie avec la pratique;Travail;Ce qui me met en difficulté;1
Même réponse que la question 7. Cependant je peux citer un élément : Absence de formation depuis l'embauche.;Evolution;Ce qui me met en difficulté;1
Merdes quotidiennes… problèmes avec le personnel en insertion : absents qui ne préviennent pas, qui se tapent dessus, conflits culturels, alcool… relations. On doit intervenir sur du disciplinaire.;Collectif;Ce qui me met en difficulté;1
mes collègues;Collectif;Ce que j'apprécie;1
Mes collègues : Charles Antoine, Djamila (arrivée il y a quelques mois). Ces 2 là s'entendent pas.;Collectif;Ce qui me met en difficulté;1
Mes collègues proches et ma hiérarchie qui a toujours eu des objectifs clairs et un réel encadrement;Accompagnement;Ce que j'apprécie;1
Mes collègues, notre relation au quotidien;Collectif;Ce que j'apprécie;1
Mes collègues.;Collectif;Ce que j'apprécie;1
Mes collègues. Tous les choses je vois des belles choses en langage. Je m'entends bien avec tout le monde. Dynamique. ;Collectif;Ce que j'apprécie;1
Mes collegues/collaborateurs;Collectif;Ce que j'apprécie;1
Mes équipes;Collectif;Ce que j'apprécie;1
Mes lacunes en connaissances techniques nécessaires à mon travail;Evolution;Ce qui me met en difficulté;1
mes maladies;Autres;Ce qui me met en difficulté;1
Mes responsabilités;Travail;Ce que j'apprécie;1
mes tickets restaurant et ce que j'apprécierai le plus encore dans mon travail c'est une prime de valorisation si possible cordialement;Rémunération;Ce que j'apprécie;1
mesurer les moyens et investissements possibles dans mon projet;Organisation;Ce qui me met en difficulté;1
Mettre en place des process pour améliorer la qualité de la solution que nous proposons;Organisation;Ce qui me met en difficulté;1
Mettre en place et faire respecter des process et des bonnes pratiques;Organisation;Ce qui me met en difficulté;1
mettre une personne en face de son echec;Accompagnement;Ce qui me met en difficulté;1
m'imposer;Autres;Ce qui me met en difficulté;1
Misalignment of strategies on some subjects between teams for one project.;Priorités;Ce qui me met en difficulté;1
Mission de l'entreprise;Vision;Ce que j'apprécie;1
Mission ni adaptée a mes qualifications ni à mes souhaits de carrière;Accompagnement;Ce qui me met en difficulté;1
Mission sociale;Vision;Ce que j'apprécie;1
Missions très variées;Travail;Ce que j'apprécie;1
Mode pompier;Pression;Ce qui me met en difficulté;1
Mon activité;Travail;Ce que j'apprécie;1
Mon apprentissage;Evolution;Ce que j'apprécie;1
Mon autonomie;Autonomie;Ce qui me met en difficulté;1
Mon autonomie, j'ai quasi carte blanche sur la gestion de mon équipe et la direction que je veux lui faire prendre tant qu'elle est alignée avec les objectifs de la société;Autonomie;Ce que j'apprécie;1
Mon autonomie, le respect de chacun et pouvoir exprimer mes idées;Autonomie;Ce que j'apprécie;1
mon boulot;Travail;Ce que j'apprécie;1
Mon boulot : convaincre les directeurs de BU et DA;Travail;Ce que j'apprécie;1
mon chef est nul !;Accompagnement;Ce qui me met en difficulté;1
Mon domaine d'expertise en rapport avec le secteur d'activité de l'entreprise.;Travail;Ce que j'apprécie;1
Mon équilibre vie privée/vie pro;Environnement;Ce que j'apprécie;1
Mon equipe;Collectif;Ce que j'apprécie;1
mon équipe;Collectif;Ce que j'apprécie;1
Mon équipe avec qui j'ai une bonne communication (essentielle pour avancer) + bel esprit d'entre aide.;Collectif;Ce que j'apprécie;1
Mon équipe se distingue par sa capacité à maintenir un niveau élevé de transparence.;Ouverture;Ce que j'apprécie;2
Mon équipe ;Collectif;Ce que j'apprécie;1
Mon évolution dans mes compétances et ce que j'apprend;Evolution;Ce que j'apprécie;1
Mon job;Travail;Ce que j'apprécie;1
Mon job de manière générale;Travail;Ce que j'apprécie;1
Mon manageur qui m'aide ;Accompagnement;Ce que j'apprécie;2
Mon manageur qui ne m'aide pas du tout;Accompagnement;Ce qui me met en difficulté;2
Mon manageur qui prend soin de moi, est à l'écoute;Accompagnement;Ce que j'apprécie;2
Mon manque de formation;Evolution;Ce qui me met en difficulté;1
Mon manque de savoir sur certains sujets;Evolution;Ce qui me met en difficulté;1
Mon manque d'organisation et d'anticipation;Travail;Ce qui me met en difficulté;1
Mon pc est parfois très lent mais mise a part ça tout va bien !;Moyens;Ce qui me met en difficulté;1
Mon rôle au sein de l'équipe;Travail;Ce que j'apprécie;1
Mon rôle en tant que coordinateur de la prod. Problème avec Marseille. Comment jouer pleinement mon rôle alors qu'ils n'ont pas envie que je débarque et que je n'ai pas le temps.;Reconnaissance;Ce qui me met en difficulté;1
mon rôle transverse dans l'entreprise qui me permet de parler à (quasiment) toutes les équipes et d'avoir une vision d'ensemble sur les projets et les résultats;Travail;Ce que j'apprécie;1
mon salaire toujours à l'heure;Rémunération;Ce que j'apprécie;1
Mon sommeil. (ce n'est pas lié a à'entreprise mais ma productivité y est diminué);Autres;Ce qui me met en difficulté;1
Mon travail;Travail;Ce que j'apprécie;1
Mon travail créatif;Travail;Ce que j'apprécie;1
Mon travail m'amène à utiliser des compétences que je n'ai pas encore acquises.;Evolution;Ce qui me met en difficulté;1
mon travail proche de chez moi;Environnement;Ce que j'apprécie;1
Montée en maturité collective de l'organisation;Organisation;Ce qui me met en difficulté;1
"Motivation pour le projet ; Entente d'équipe ; Sujets stimulants";Travail;Ce que j'apprécie;1
Motivé par l'activité;Vision;Ce que j'apprécie;1
Moulinot qui donne de la motivation ;Vision;Ce que j'apprécie;1
moyens que l'on se donne;Dynamique;Ce que j'apprécie;1
My team's goodwill;Collectif;Ce que j'apprécie;1
NA;Autres;Ce qui me met en difficulté;1
nature des projets;Travail;Ce que j'apprécie;1
Ne jamais s'emmerder.  ;Travail;Ce que j'apprécie;1
Ne pas avoir de projet client pendant plusieurs mois, et avoir peu d'objectifs sur les projets en interne;Dynamique;Ce qui me met en difficulté;2
Ne pas connaitre les objectifs de croissance précis (temporalité pour les prochaines levées de fond etc);Communication;Ce qui me met en difficulté;1
Ne pas m'affirmer assez dans l'équipe;Collectif;Ce qui me met en difficulté;1
Ne pas pouvoir avoir accès à plus de télétravail même si on a prouvé qu'on travaillait efficacement à domicile.;Environnement;Ce qui me met en difficulté;1
Ne pas pouvoir toujours réserver de salles de réunion quand j'en ai besoin;Organisation;Ce qui me met en difficulté;1
ne pas savoir ce que font les autres;Communication;Ce qui me met en difficulté;1
Ne pas savoir les tâches / priorités;Priorités;Ce qui me met en difficulté;1
Ne prend pas en compte l'handicap des gens.;Autres;Ce qui me met en difficulté;1
Ne sais pas;Autres;Ce qui me met en difficulté;1
nombre de clients;Relation client;Ce qui me met en difficulté;1
Nombre de personnes dans les bureaux;Environnement;Ce qui me met en difficulté;1
Non reconnaissance;Reconnaissance;Ce qui me met en difficulté;1
Nos ambitions, démente mais on est sur l'étroit chemin pour y arriver;Vision;Ce que j'apprécie;1
Nos clients;Relation client;Ce que j'apprécie;1
Nos idées appréciées;Reconnaissance;Ce que j'apprécie;1
Nos technologies : nous développons notre propres techno audio, de création de contenu. C'est une force créative immense et très attractive sur laquelle nous pourrions (et devrions selon moi) beaucoup plus capitaliser en termes de marque employeur.;Vision;Ce que j'apprécie;1
Nos valeurs;Vision;Ce que j'apprécie;1
not knowing other company members well besides my own team;Collectif;Ce qui me met en difficulté;1
Not really encounter one yet;Autres;Ce qui me met en difficulté;1
Not to know what people are doing / how they can help me;Communication;Ce qui me met en difficulté;1
Notre collectif;Collectif;Ce que j'apprécie;1
Notre esprit d'équipe;Collectif;Ce que j'apprécie;1
notre façon de collecter VS la concurrence;Travail;Ce qui me met en difficulté;1
notre projet d'entreprise;Vision;Ce que j'apprécie;1
Nous faisons preuve de transparence en reconnaissant nos erreurs ouvertement.;Ouverture;Ce que j'apprécie;2
Nous valorisons la flexibilité des horaires, la liberté de parole et une bonne communication avec la direction.;Ouverture;Ce que j'apprécie;2
Nouvel outil;Organisation;Ce qui me met en difficulté;1
Objectifs des RT définis tard et parfois mal;Organisation;Ce qui me met en difficulté;1
Obligation de faire plus que ceux du matin (gaz et chargement);Organisation;Ce qui me met en difficulté;1
Occasional language barrier;Autres;Ce qui me met en difficulté;1
On a beaucoup de liberté.;Autonomie;Ce que j'apprécie;1
On a des avantages que les autres n'ont pas ;Rémunération;Ce que j'apprécie;1
On a pas de vision à moyen terme de comment on structure le commercial.;Vision;Ce qui me met en difficulté;1
On a rarement les mêmes directives, les décisions prises ne sont pas toujours tenues, manque d'expérience dans le management;Priorités;Ce qui me met en difficulté;1
on a un outil informatique qui laisse à désirer;Moyens;Ce qui me met en difficulté;1
On arrive pas à faire marcher nos projets (comercialement parlant);Dynamique;Ce qui me met en difficulté;1
On arrive pas à prendre le temps de structurer de créer des outils;Priorités;Ce qui me met en difficulté;1
on aurait tendance à manager pour acheter la paix sociale;Collectif;Ce qui me met en difficulté;1
On avance vite ;Dynamique;Ce que j'apprécie;1
On embauche des gens sans diplômes.  ;Vision;Ce que j'apprécie;1
On embauché Paty, assistante achats de composants, ça m'aide et me soulage énormément ;Moyens;Ce que j'apprécie;1
On essaye de se renouveler constamment et c'est assez fatigant;Travail;Ce qui me met en difficulté;1
On est 100% autonomes. On est libre d'organiser notre temps. Tout le monde est réglo. Je fais avancer mon truc à toi ;Autonomie;Ce que j'apprécie;1
On est dynamique. Il n'y pas de personne qui ralentisse le groupe. Il y a une énergie en plus;Dynamique;Ce que j'apprécie;1
On est lent sur beaucoup de trucs. ;Organisation;Ce qui me met en difficulté;1
On est pas bien au courant des capacités des uns et des autres dans l'entreprise.;Communication;Ce qui me met en difficulté;1
On est reconnu comme expert, on a l'impression d'amener qqch à nos clients => vrai lien de confiance;Relation client;Ce que j'apprécie;1
On est très sollicité par l'extérieur. Beaucoup de demande. Je m'ennuie jamais au boulot. Toujours de la nouveauté. ;Travail;Ce que j'apprécie;1
On est un peu le service poubelle.;Reconnaissance;Ce qui me met en difficulté;1
on fais pas avancer les manières de faire;Organisation;Ce qui me met en difficulté;1
On fait vite pour rentrer plus vite le soir chez nous a cause de Charles;Collectif;Ce qui me met en difficulté;1
On hésite à embaucher tant qu'on perd de la thune;Moyens;Ce qui me met en difficulté;1
On me connais même si je n'ai jamais travaillé à l'agence;Collectif;Ce que j'apprécie;1
On me remet en cause dans ma fonction ;Reconnaissance;Ce qui me met en difficulté;1
On met les EPI (Equipements de Protection Indiv). Les fringues pour les conducteurs. Il y en a en t-shirt. ;Collectif;Ce qui me met en difficulté;1
On n'a pas assez communiqué : On a des blocages à certains niveaux;Communication;Ce qui me met en difficulté;1
On n'a pas d'autonomie financière. Je n'ai pas de budget;Moyens;Ce qui me met en difficulté;1
On ne fait pas assez confiance au gens (ça rejoint le point précédent), et donc certaines personnes sont moins motivées, ne se sentent plus owner de leur sujet, et donc lorsqu'il y a un problème personne ne fait rien.;Autonomie;Ce qui me met en difficulté;1
On ne me donne pas de limites (en termes de cible, de géographie) => je peux m'exprimer;Autonomie;Ce que j'apprécie;1
On ne se comprend pas avec mon manager;Accompagnement;Ce qui me met en difficulté;1
On n'est pas beaucoup. On se connait bien. On n'a pas de compétition. Il y a une super entraide. ;Collectif;Ce que j'apprécie;1
On peut faire bouger les choses;Autonomie;Ce que j'apprécie;1
On refait les meme erreurs encore et encore;Travail;Ce qui me met en difficulté;1
On sait pourquoi on travaille : feedback et reconnaissance;Reconnaissance;Ce que j'apprécie;1
On se demande pourquoi on court, à quoi ça sert d'augmenter les objectifs, après quoi on court : toujours faire plus (usant);Vision;Ce qui me met en difficulté;1
On se dit les erreurs, on ne cache rien sous le tapis.  ;Ouverture;Ce que j'apprécie;1
On se fait pas confiance ! ;Collectif;Ce qui me met en difficulté;1
On se met en difficulté lors des projets en s'improvisant des compétences;Organisation;Ce qui me met en difficulté;1
On travaille sur des domaines dont les produits sont motivants : Musique, Photo, Vidéo...;Travail;Ce que j'apprécie;1
On va charger les gens qui savent faire. On ne va pas s'occuper de ceux qui ne savent pas faire. ;Organisation;Ce qui me met en difficulté;1
On va pas être dans une routine ;Travail;Ce que j'apprécie;1
Onboarding : bien construit => bcp de réunions d'intégration, présentation des différents pôles et activités, admin;Organisation;Ce qui me met en difficulté;1
opportunités peu nombreuses;Travail;Ce qui me met en difficulté;1
ops : pas les bonnes informations du commerce, informations erronées;Communication;Ce qui me met en difficulté;1
Organisation;Organisation;Ce que j'apprécie;1
organisation efficace intelligible pour tous les documents nécessaires au travail;Organisation;Ce qui me met en difficulté;1
Organisation et hiérarchisation des tâches;Organisation;Ce qui me met en difficulté;1
Organisation pas assez efficiente à cause de multiples intermédiaires ou d'échanges informels au lieu d'échanges directs avec les principaux concernés.;Communication;Ce qui me met en difficulté;1
Organisation très longue;Organisation;Ce qui me met en difficulté;1
Organization de l'entreprise pas toujours claire: qui fait quoi?;Organisation;Ce qui me met en difficulté;1
oubli de la prise en compte de la gestion du handicap dans certains cas;Autres;Ce qui me met en difficulté;1
outils;Organisation;Ce qui me met en difficulté;1
outils de travail;Organisation;Ce que j'apprécie;1
Ownership blur: who's owner of what;Organisation;Ce qui me met en difficulté;1
"Par moment la lassitude d""être mono-projet";Travail;Ce qui me met en difficulté;1
Parfois il n'ouvre pas après mon badge;Moyens;Ce qui me met en difficulté;1
Parfois la circulation d'information quand nous nous voyons pas.;Communication;Ce qui me met en difficulté;1
Parfois le temps nécessaire pour obtenir des réponses malgré les relances;Organisation;Ce qui me met en difficulté;1
Parfois manque de salles pour faire des réunions ou s'isoler pour travailler de son côté (et éviter le bruit de l'open space);Moyens;Ce qui me met en difficulté;1
Parfois on manque de moyens par rapport à nos ambitions, Manque d'effectif;Moyens;Ce qui me met en difficulté;1
Parfois on nous met des pharmacies sans intégrer le temps de route > donc on doit prendre des risques sur la route pour être à l'heure  ;Organisation;Ce qui me met en difficulté;1
parfois trop de réunions sur une même semaine;Organisation;Ce qui me met en difficulté;1
Parfois trop focus sur les résultats court terme;Vision;Ce qui me met en difficulté;1
Parfois, sur des sujets internes de devoir relancer mes collègues :);Organisation;Ce qui me met en difficulté;1
Parler à des interlocuteurs extrêmement variés dans leur métier : aménageurs, archi, promoteurs, sénateurs, députés;Relation client;Ce que j'apprécie;1
partagé avec les chauffeurs les infos clients;Communication;Ce que j'apprécie;1
partage des tournées;Travail;Ce que j'apprécie;1
Participer à la création d'applications utilisées par des millions d'utilisateurs;Vision;Ce que j'apprécie;1
participer à l'écologie;Vision;Ce que j'apprécie;1
participer au développement d'un nouveau produit;Vision;Ce que j'apprécie;1
Partie admin est plus lourde : gestion des stocks n'est pas évidente ;Travail;Ce qui me met en difficulté;1
pas à l'aise par rapport au privilège que je recois comparer aux autres;Collectif;Ce qui me met en difficulté;1
pas assez de monde;Moyens;Ce qui me met en difficulté;1
Pas assez de personnes pour encadrer;Moyens;Ce qui me met en difficulté;1
pas assez de place de parking;Environnement;Ce qui me met en difficulté;1
pas assez de prise de responsabilité de certains;Autonomie;Ce qui me met en difficulté;1
Pas assez de temps;Pression;Ce qui me met en difficulté;1
Pas assez de temps pour les veilles technos;Priorités;Ce qui me met en difficulté;1
Pas assez de temps pour me former, faire de la veille, etc...;Pression;Ce qui me met en difficulté;1
Pas assez de TT;Environnement;Ce qui me met en difficulté;1
Pas assez d'informations;Communication;Ce qui me met en difficulté;1
Pas assez organisé;Organisation;Ce qui me met en difficulté;1
Pas cohérent avec la place que j'ai dans l'entreprise ;Collectif;Ce qui me met en difficulté;1
pas de badge;Moyens;Ce qui me met en difficulté;1
pas de connaissance assez poussée d'une ressource documentaire dispo;Evolution;Ce qui me met en difficulté;1
Pas de demande claire et manque de retour : -> pas de compréhension;Communication;Ce qui me met en difficulté;1
Pas de distance avec les supérieures;Collectif;Ce que j'apprécie;1
Pas de grosses difficultés;Autres;Ce qui me met en difficulté;1
Pas de merci et de reconnaissance.;Reconnaissance;Ce qui me met en difficulté;1
pas de motivation de la part des salariés;Collectif;Ce qui me met en difficulté;1
Pas de perspective d'évolution;Evolution;Ce qui me met en difficulté;1
Pas de pression hiérarchique;Accompagnement;Ce que j'apprécie;1
Pas de pression, j'apprécie. ;Organisation;Ce que j'apprécie;1
"Pas de réel référent technique; Priorisation des tâches parfois difficile; Méthodes de documentation encore floues";Moyens;Ce qui me met en difficulté;1
Pas de RH, ça me fait peur. Ni de talent acquisition. ;Moyens;Ce qui me met en difficulté;1
Pas de Roadmap ni de planification;Priorités;Ce qui me met en difficulté;1
Pas de service marketing;Moyens;Ce qui me met en difficulté;1
Pas de subsidiarité. Ou subsidiarité inversée;Pression;Ce qui me met en difficulté;1
pas de temps de formation alloué, dès qu'une tâche est en dehors de mes compétences et nécessiterai de la formation (de plusieurs jours), on la donne a quelqu'un qui la possède ou si personne ne l'a on trouve une solution de contournement;Evolution;Ce qui me met en difficulté;1
Pas de visibilité à plus long termes;Vision;Ce qui me met en difficulté;1
Pas d'objectifs. Pas de business plan ? ;Priorités;Ce qui me met en difficulté;1
Pas du tout;Autres;Ce qui me met en difficulté;1
Pas envie de raconter des choses qui sont fausses à mes gars sur le terrain ;Organisation;Ce qui me met en difficulté;1
Pas grand-chose;Autres;Ce qui me met en difficulté;1
Pas le temps de mettre en place ;Pression;Ce qui me met en difficulté;1
Pas le temps d'informer;Pression;Ce qui me met en difficulté;1
pas mal de personnes qui sont parties au niveau du groupe : on sent les difficultés de certaines personnes > charges de travail assez importantes;Pression;Ce qui me met en difficulté;1
Pas ou peu de plan de carrière ;Evolution;Ce qui me met en difficulté;1
Pas toujours la sensation d'être au meilleur endroit, impact potentiel maximisable;Priorités;Ce qui me met en difficulté;1
Passionnant. Faire évoluer l'orga, structurer les équipes, innover pour suivre le secteur.;Travail;Ce que j'apprécie;1
Passionné par la cuisine;Travail;Ce que j'apprécie;1
Passionnée sur ce que je fais ;Travail;Ce que j'apprécie;1
PDG;Collectif;Ce que j'apprécie;1
Pendant les réunions, tout le monde n'est pas toujours très attentif.;Collectif;Ce qui me met en difficulté;1
pente lourd;Travail;Ce qui me met en difficulté;1
People & culture;Collectif;Ce que j'apprécie;1
People commitment issues, feeling to not be in the same team;Autonomie;Ce qui me met en difficulté;1
People's diversity;Collectif;Ce que j'apprécie;1
Périmètre de mission : on prend des missions qu'on ne sait pas forcément réaliser en interne (mise en difficulté);Organisation;Ce qui me met en difficulté;1
Perks;Autres;Ce que j'apprécie;1
Personnel qui change souvent ;Organisation;Ce qui me met en difficulté;1
Personnes dédiées pour le marché africain;Organisation;Ce que j'apprécie;1
perspectives d'évolution floues;Evolution;Ce qui me met en difficulté;1
Perte de sens dans mes missions (micro-tâches, peu de valeur ajoutée) et donc de motivation par rapport au projet global;Travail;Ce qui me met en difficulté;1
Perte d'efficacité du fait de stories pas assez précises;Organisation;Ce qui me met en difficulté;1
Petite équipe d'infirmières, on est 4 : on s'entend bien, on s'entraide, travail d'équipe;Collectif;Ce que j'apprécie;1
Peur de passer au travers de quelque chose. Si je ne cours pas après l'info.;Communication;Ce qui me met en difficulté;1
Phase de développement dans la douleur 2014-2018;Dynamique;Ce qui me met en difficulté;1
place de parking;Environnement;Ce qui me met en difficulté;1
Plaisir de faire grandir l'autre.  ;Travail;Ce que j'apprécie;1
Plateforme de travail manque de modernité et de fluidité / 3 jours de télétravail pour certaines personnes contre 1 pour d'autres;Organisation;Ce qui me met en difficulté;1
Plein d'ouvrage. De l'art. De superbes ouvrages. La vue du ciel, lorsqu'on est là haut.  ;Travail;Ce que j'apprécie;1
Plus de communication;Communication;Ce qui me met en difficulté;1
Plus de stress, plus de clients, investissements ;Pression;Ce qui me met en difficulté;1
plutôt satisfait dans l'ensemble;Autres;Ce que j'apprécie;1
Plutôt un peu conjoncturel, des fois on est serré des fois on est plus cools.;Organisation;Ce qui me met en difficulté;1
poids chargés;Travail;Ce qui me met en difficulté;1
"Polyvalence;Discussion";Travail;Ce que j'apprécie;1
Polyvalent  , horaire ,;Travail;Ce que j'apprécie;1
ponctuel;Autres;Ce que j'apprécie;1
"Port du masque ;) espace bureau un peu limité; connexion réseau sur ag2";Environnement;Ce qui me met en difficulté;1
Portail Orecia. Je n'ai pas encore utilisé. Gestion des congés;Moyens;Ce que j'apprécie;1
positive vibes in the team;Collectif;Ce que j'apprécie;1
Possibilité de proposer des nouvelles actions ou idéesEntreprise qui adapte ses prestations en fonction du marché, ses contraintes et ses évolutionsLe Management bienveillant et efficace;Autonomie;Ce que j'apprécie;1
Possibility to speak with c-levels;Accompagnement;Ce que j'apprécie;1
Pour le moment pas de difficultés et s'il y en a la solution est vite trouvée.;Autres;Ce qui me met en difficulté;1
pour moi, le travail est une deuxième maison et une famille;Travail;Ce que j'apprécie;1
poussière dans l'atelier;Environnement;Ce qui me met en difficulté;1
Pouvoir aider les autres;Collectif;Ce que j'apprécie;1
Pouvoir améliorer tout ce qu'on peut faire dans la boite.;Autonomie;Ce que j'apprécie;1
Pouvoir apprendre;Evolution;Ce que j'apprécie;1
Pouvoir apprendre d'avantage.;Evolution;Ce que j'apprécie;1
pouvoir avoir de l'impact dans les décisions concernant mes projets;Travail;Ce que j'apprécie;1
Pouvoir évoluer et avoir des responsabilités;Vision;Ce que j'apprécie;1
pouvoir travailler dans un secteur qui me passionne;Travail;Ce que j'apprécie;1
Présentation des informations, manque de données non fournies en attendant de nous que ce soit traité dans la minute;Communication;Ce qui me met en difficulté;1
Prévoir le temps nécessaire;Priorités;Ce qui me met en difficulté;1
Prioriser les tâches entre plusieurs projets en parallèle;Priorités;Ce qui me met en difficulté;1
Prise en charge du standard d'autres services qui ne veulent pas prendre leurs propres appels;Organisation;Ce qui me met en difficulté;1
Problématique flotte : beaucoup de problème de camion.;Organisation;Ce qui me met en difficulté;1
Problème aussi des salaires bas. ;Rémunération;Ce qui me met en difficulté;1
Problème de communication ;Communication;Ce qui me met en difficulté;1
Problème de communication dans l'équipe ;Communication;Ce qui me met en difficulté;1
Problème de téléphone.Problème sur  la pesée ( la balance );Moyens;Ce qui me met en difficulté;1
Problème d'organisation interne.  ;Organisation;Ce qui me met en difficulté;1
Process de prise de décision pas clair: comment sont prises les décisions et par qui? pourquoi?;Organisation;Ce qui me met en difficulté;1
Process parfois manquants sur certaines tâches clés : Cela fait perdre du temps;Moyens;Ce qui me met en difficulté;1
production;Travail;Ce qui me met en difficulté;1
Projet;Vision;Ce que j'apprécie;1
Projet / aventure ;Vision;Ce que j'apprécie;1
projets intéressants;Travail;Ce que j'apprécie;1
Proposer des solutions pour protéger l'environnement;Vision;Ce que j'apprécie;1
Propreté des bacs;Environnement;Ce qui me met en difficulté;1
protéger l'environnement;Vision;Ce que j'apprécie;1
proximité;Collectif;Ce que j'apprécie;1
proximité avec les autres collaborateurs;Collectif;Ce que j'apprécie;1
Proximité domicile/travail;Environnement;Ce que j'apprécie;1
Proximité tous ensemble. On s'entend tous super bien. On a des caractères très différents. ;Collectif;Ce que j'apprécie;1
Qualité des projets;Travail;Ce que j'apprécie;1
qualités humaines;Collectif;Ce que j'apprécie;1
Quand ça se passe mal sur les projets.;Travail;Ce qui me met en difficulté;1
Quand il n'y a pas beaucoup de travail, je m'ennuie.;Organisation;Ce qui me met en difficulté;1
Quand il n'y a plus de banane.;Autres;Ce qui me met en difficulté;1
Quand j'entends que j'ai fait du bien autour de moi, que j'ai fait grandir : me fait du bien, sentiment que je sers à quelque chose ;Reconnaissance;Ce que j'apprécie;1
Quand on a une panne difficile, on perd du temps dessus. On stresse. On est jamais sur à 100%. Si on se trompe.;Travail;Ce qui me met en difficulté;1
Quand un client nous appelle, même s'il nous a pas répondu pendant 3 semaines, on doit lui répondre tout de suite.;Relation client;Ce qui me met en difficulté;1
Que la réalisation dépende de X contacts mettant Y temps a répondre alors que la demande est urgente;Organisation;Ce qui me met en difficulté;1
Que mon manager ne me dise pas comment progresser et obtenir mes futures promotions et organiser mon parcours;Accompagnement;Ce qui me met en difficulté;1
quelles sont les fonctions de chacun chez Cedre ?;Communication;Ce qui me met en difficulté;1
Quelques tâches admin : les déclarations préalable + autorisation de voiries. Ça me prend beaucoup de temps pour ce que c'est. ;Travail;Ce qui me met en difficulté;1
Qu'on me flingue dans mon boulot. Qu'on me freine. Des batons dans les roues.;Collectif;Ce qui me met en difficulté;1
Qu'on puisse expliquer les choix et les décisions -> plus de communication ;Communication;Ce qui me met en difficulté;1
R.A..S;Autres;Ce qui me met en difficulté;1
R.A.S;Autres;Ce qui me met en difficulté;1
Rabacher : laver les camions, porter les EPI (Equipement Protection Individuel), être flic de ça;Collectif;Ce qui me met en difficulté;1
Raisons financières, les salaires augmentent pas parce que les bénéfices sont réinvestis. ;Rémunération;Ce qui me met en difficulté;1
rampe / pente;Travail;Ce qui me met en difficulté;1
Rapidité d'exécution;Travail;Ce que j'apprécie;1
Rarement, le manque de communication sur un sujet donné ou pour les raisons d'une prise de décision.;Communication;Ce qui me met en difficulté;1
Reactivité de l'équipe sur les demandes;Pression;Ce qui me met en difficulté;1
Réagir à chaud;Autres;Ce qui me met en difficulté;1
Réaliser qu'une partie de mon temps a été investi sur des choses inachevées;Priorités;Ce qui me met en difficulté;1
Recadrer les comportements;Collectif;Ce qui me met en difficulté;1
Recherche d'un produit qualitatif;Travail;Ce que j'apprécie;1
Reconnaissance;Reconnaissance;Ce que j'apprécie;1
Réellement bonne ambiance. A l'opposé de se tirer dans les pattes. Pas d'esprit de compétition. Pas de système de commissions, salaires fixes. ;Collectif;Ce que j'apprécie;1
Réflexion, travail d'analyse, complexité;Travail;Ce que j'apprécie;1
Relation avec les autres dans l'entreprise;Relation client;Ce que j'apprécie;1
"Relation avec mes Chefs, ils sont dans l'écoute;Les partages de tournées, bon rythmes;";Vision;Ce que j'apprécie;1
Relation personnelle et professionnelle. La confiance qu'on a les uns envers les autres;Collectif;Ce que j'apprécie;1
Relationnel avec la direction : direction distante et optue, annonce être ouverte et disponible mais les suggestions sont mal reçues;Vision;Ce qui me met en difficulté;1
Relationnel avec les gens, assez cool ex : Ambiance avec les collègues. Continuité de la vie d'entreprise. Évènements conviviaux. ;Collectif;Ce que j'apprécie;1
Relationnel client;Relation client;Ce que j'apprécie;1
Relationnel collaborateurs;Collectif;Ce que j'apprécie;1
relationnel direction;Vision;Ce qui me met en difficulté;1
"relations avec certain collègue ;  Manque d'information entre services et dans les services  ; différences de traitement des collaborateurs";Communication;Ce qui me met en difficulté;1
